No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,date,Iprec
1,2010,1,1,0,4,NA,NA,NA,-6,59.48,1026.1,1,cv,1,2010-1-1-0,0
2,2010,1,1,1,4,NA,NA,NA,-6,59.48,1025.1,1,SE,2,2010-1-1-1,0
3,2010,1,1,2,4,NA,NA,NA,-7,59.21,1025.1,0,SE,4,2010-1-1-2,0
4,2010,1,1,3,4,NA,NA,NA,-6,63.94,1024,0,SE,5,2010-1-1-3,0
5,2010,1,1,4,4,NA,NA,NA,-6,63.94,1023,0,SE,8,2010-1-1-4,0
6,2010,1,1,5,4,NA,NA,NA,-7,59.21,1023,0,SE,11,2010-1-1-5,0
7,2010,1,1,6,4,NA,NA,NA,-6,59.48,1023,1,SE,14,2010-1-1-6,0
8,2010,1,1,7,4,NA,NA,NA,-5,64.18,1023,1,SE,17,2010-1-1-7,0
9,2010,1,1,8,4,NA,NA,NA,-3,69.43,1023,2,SE,20,2010-1-1-8,0
10,2010,1,1,9,4,NA,NA,NA,-2,64.9,1023,4,SE,23,2010-1-1-9,0
11,2010,1,1,10,4,NA,NA,NA,-1,60.76,1022,6,SE,28,2010-1-1-10,0
12,2010,1,1,11,4,NA,NA,NA,0,61.01,1022,7,SW,6,2010-1-1-11,0
13,2010,1,1,12,4,NA,NA,NA,-1,52.98,1020,8,SW,10,2010-1-1-12,0
14,2010,1,1,13,4,NA,NA,NA,0,53.26,1019,9,SW,14,2010-1-1-13,0
15,2010,1,1,14,4,NA,NA,NA,-1,46.29,1019,10,SW,18,2010-1-1-14,0
16,2010,1,1,15,4,NA,NA,NA,-1,46.29,1018,10,SE,3,2010-1-1-15,0
17,2010,1,1,16,4,NA,NA,NA,-2,46,1018,9,SE,7,2010-1-1-16,0
18,2010,1,1,17,4,NA,NA,NA,-1,49.51,1018,9,SE,11,2010-1-1-17,0
19,2010,1,1,18,4,NA,NA,NA,0,56.99,1019,8,SE,14,2010-1-1-18,0
20,2010,1,1,19,4,NA,NA,NA,1,61.26,1018,8,SE,16,2010-1-1-19,0
21,2010,1,1,20,4,NA,NA,NA,2,65.82,1019,8,SE,20,2010-1-1-20,0
22,2010,1,1,21,4,NA,NA,NA,2,65.82,1018,8,SE,25,2010-1-1-21,0
23,2010,1,1,22,4,NA,NA,NA,3,70.67,1018,8,SW,5,2010-1-1-22,0
24,2010,1,1,23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-1-1-23,0
25,2010,1,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-1-2-0,0
26,2010,1,2,1,4,NA,NA,NA,3,75.67,1018,7,SW,3,2010-1-2-1,0
27,2010,1,2,2,4,NA,NA,NA,3,75.67,1016.9,7,SW,7,2010-1-2-2,0
28,2010,1,2,3,4,NA,NA,NA,3,75.67,1018,7,cv,1,2010-1-2-3,0
29,2010,1,2,4,4,NA,NA,NA,3,75.67,1016.9,7,SW,3,2010-1-2-4,0
30,2010,1,2,5,4,NA,NA,NA,3,81.06,1016.9,6,cv,0,2010-1-2-5,0
31,2010,1,2,6,4,NA,NA,NA,3,81.06,1018,6,NW,1,2010-1-2-6,0
32,2010,1,2,7,4,NA,NA,NA,2,80.92,1018,5,SW,1,2010-1-2-7,0
33,2010,1,2,8,4,NA,NA,NA,3,81.06,1019,6,cv,0,2010-1-2-8,0
34,2010,1,2,9,4,NA,NA,NA,4,75.84,1019,8,cv,0,2010-1-2-9,0
35,2010,1,2,10,4,NA,NA,NA,3,61.76,1019,10,NW,3,2010-1-2-10,0
36,2010,1,2,11,4,NA,NA,NA,3,57.77,1019,11,NW,8,2010-1-2-11,0
37,2010,1,2,12,4,NA,NA,NA,2,53.81,1018,11,NW,13,2010-1-2-12,0
38,2010,1,2,13,4,NA,NA,NA,3,54.08,1016.9,12,NW,17,2010-1-2-13,0
39,2010,1,2,14,4,NA,NA,NA,1,46.88,1016.9,12,NW,22,2010-1-2-14,0
40,2010,1,2,15,4,NA,NA,NA,2,50.36,1018,12,NW,26,2010-1-2-15,0
41,2010,1,2,16,4,NA,NA,NA,2,50.36,1018,12,NW,30,2010-1-2-16,0
42,2010,1,2,17,4,NA,NA,NA,2,53.81,1019,11,NW,33,2010-1-2-17,0
43,2010,1,2,18,4,NA,NA,NA,3,61.76,1020,10,NE,3,2010-1-2-18,0
44,2010,1,2,19,4,NA,NA,NA,3,66.05,1021,9,NE,6,2010-1-2-19,0
45,2010,1,2,20,4,NA,NA,NA,3,70.67,1022,8,NE,13,2010-1-2-20,0
46,2010,1,2,21,4,NA,NA,NA,3,75.67,1022,7,NE,19,2010-1-2-21,0
47,2010,1,2,22,4,NA,NA,NA,3,81.06,1023,6,NE,22,2010-1-2-22,0
48,2010,1,2,23,4,NA,NA,NA,3,86.89,1023,5,NE,25,2010-1-2-23,0
49,2010,1,3,0,4,NA,NA,NA,3,86.89,1023,5,NE,28,2010-1-3-0,0
50,2010,1,3,1,4,NA,NA,NA,3,86.89,1023,5,NE,32,2010-1-3-1,0
51,2010,1,3,2,4,NA,NA,NA,2,80.92,1023,5,NE,35,2010-1-3-2,0
52,2010,1,3,3,4,NA,NA,NA,3,86.89,1022,5,NE,38,2010-1-3-3,0
53,2010,1,3,4,4,NA,NA,NA,3,86.89,1022,5,NE,42,2010-1-3-4,0
54,2010,1,3,5,4,NA,NA,NA,2,86.79,1022,4,NE,45,2010-1-3-5,0
55,2010,1,3,6,4,NA,NA,NA,3,86.89,1022,5,NE,48,2010-1-3-6,0
56,2010,1,3,7,4,NA,NA,NA,2,75.49,1022,6,NE,52,2010-1-3-7,0
57,2010,1,3,8,4,NA,NA,NA,2,75.49,1023,6,NE,56,2010-1-3-8,0
58,2010,1,3,9,4,NA,NA,NA,2,65.82,1023,8,NE,60,2010-1-3-9,0
59,2010,1,3,10,4,NA,NA,NA,2,65.82,1022,8,NE,66,2010-1-3-10,0
60,2010,1,3,11,4,NA,NA,NA,2,57.51,1022,10,SE,5,2010-1-3-11,0
61,2010,1,3,12,4,NA,NA,NA,3,57.77,1020,11,SE,10,2010-1-3-12,0
62,2010,1,3,13,4,NA,NA,NA,2,53.81,1019,11,SE,15,2010-1-3-13,0
63,2010,1,3,14,4,NA,NA,NA,3,57.77,1019,11,SE,21,2010-1-3-14,0
64,2010,1,3,15,4,NA,NA,NA,3,54.08,1018,12,SE,26,2010-1-3-15,0
65,2010,1,3,16,4,NA,NA,NA,3,57.77,1018,11,SE,33,2010-1-3-16,0
66,2010,1,3,17,4,NA,NA,NA,3,61.76,1018,10,SE,38,2010-1-3-17,0
67,2010,1,3,18,4,NA,NA,NA,4,70.88,1018,9,SE,42,2010-1-3-18,0
68,2010,1,3,19,4,NA,NA,NA,4,70.88,1016.9,9,SE,47,2010-1-3-19,0
69,2010,1,3,20,4,NA,NA,NA,5,76.01,1016.9,9,SE,52,2010-1-3-20,0
70,2010,1,3,21,4,NA,NA,NA,5,76.01,1016.9,9,SE,58,2010-1-3-21,0
71,2010,1,3,22,4,NA,NA,NA,5,76.01,1015.9,9,SE,63,2010-1-3-22,0
72,2010,1,3,23,4,NA,NA,NA,6,81.48,1015.9,9,SE,67,2010-1-3-23,0
73,2010,1,4,0,4,NA,NA,NA,5,81.34,1014.9,8,SW,5,2010-1-4-0,0
74,2010,1,4,1,4,NA,NA,NA,5,81.34,1014.9,8,SW,10,2010-1-4-1,0
75,2010,1,4,2,4,NA,NA,NA,4,81.2,1014.9,7,SW,14,2010-1-4-2,0
76,2010,1,4,3,4,NA,NA,NA,4,86.99,1014.9,6,SW,16,2010-1-4-3,0
77,2010,1,4,4,4,NA,NA,NA,3,86.89,1014.9,5,NW,1,2010-1-4-4,0
78,2010,1,4,5,4,NA,NA,NA,4,86.99,1014.9,6,NW,3,2010-1-4-5,0
79,2010,1,4,6,4,NA,NA,NA,4,93.24,1015.9,5,SW,2,2010-1-4-6,0
80,2010,1,4,7,4,NA,NA,NA,3,86.89,1015.9,5,NW,2,2010-1-4-7,0
81,2010,1,4,8,4,NA,NA,NA,4,86.99,1016.9,6,NW,7,2010-1-4-8,0
82,2010,1,4,9,4,NA,NA,NA,4,86.99,1018,6,NW,12,2010-1-4-9,0
83,2010,1,4,10,4,NA,NA,NA,4,86.99,1019,6,NW,19,2010-1-4-10,0
84,2010,1,4,11,4,NA,NA,NA,3,75.67,1019,7,NW,26,2010-1-4-11,0
85,2010,1,4,12,4,NA,NA,NA,2,65.82,1019,8,NW,33,2010-1-4-12,0
86,2010,1,4,13,4,NA,NA,NA,0,61.01,1020,7,NW,40,2010-1-4-13,0
87,2010,1,4,14,4,NA,NA,NA,-1,56.72,1020,7,NW,48,2010-1-4-14,0
88,2010,1,4,15,4,NA,NA,NA,-4,45.4,1021,7,NE,7,2010-1-4-15,0
89,2010,1,4,16,4,NA,NA,NA,-4,48.63,1022,6,NW,9,2010-1-4-16,0
90,2010,1,4,17,4,NA,NA,NA,-3,52.41,1022,6,NW,16,2010-1-4-17,0
91,2010,1,4,18,4,NA,NA,NA,-1,69.85,1023,4,NE,7,2010-1-4-18,0
92,2010,1,4,19,4,NA,NA,NA,-2,69.64,1024,3,NE,15,2010-1-4-19,0
93,2010,1,4,20,4,NA,NA,NA,-4,64.42,1026.1,2,NE,23,2010-1-4-20,0
94,2010,1,4,21,4,NA,NA,NA,-5,64.18,1026.1,1,NE,32,2010-1-4-21,0
95,2010,1,4,22,4,NA,NA,NA,-5,69,1027.1,0,NE,39,2010-1-4-22,0
96,2010,1,4,23,4,NA,NA,NA,-6,63.94,1027.1,0,NE,47,2010-1-4-23,0
97,2010,1,5,0,4,NA,NA,NA,-7,63.69,1028.1,-1,NE,53,2010-1-5-0,0
98,2010,1,5,1,4,NA,NA,NA,-8,58.95,1028.1,-1,NE,59,2010-1-5-1,0
99,2010,1,5,2,4,NA,NA,NA,-9,54.51,1028.1,-1,NE,64,2010-1-5-2,0
100,2010,1,5,3,4,NA,NA,NA,-9,54.51,1029.1,-1,NE,70,2010-1-5-3,0
101,2010,1,5,4,4,NA,NA,NA,-10,54.23,1029.1,-2,NE,76,2010-1-5-4,0
102,2010,1,5,5,4,NA,NA,NA,-9,58.68,1029.1,-2,NW,4,2010-1-5-5,0
103,2010,1,5,6,4,NA,NA,NA,-8,63.45,1029.1,-2,NW,8,2010-1-5-6,0
104,2010,1,5,7,4,NA,NA,NA,-7,68.56,1029.1,-2,NW,12,2010-1-5-7,0
105,2010,1,5,8,4,NA,NA,NA,-6,74.03,1029.1,-2,NW,16,2010-1-5-8,0
106,2010,1,5,9,4,NA,NA,NA,-6,74.03,1030.1,-2,NE,4,2010-1-5-9,0
107,2010,1,5,10,4,NA,NA,NA,-6,68.78,1030.1,-1,NW,4,2010-1-5-10,0
108,2010,1,5,11,4,NA,NA,NA,-6,63.94,1030.1,0,NE,5,2010-1-5-11,0
109,2010,1,5,12,4,NA,NA,NA,-7,55.08,1029.1,1,NE,9,2010-1-5-12,0
110,2010,1,5,13,4,NA,NA,NA,-7,55.08,1028.1,1,NE,13,2010-1-5-13,0
111,2010,1,5,14,4,NA,NA,NA,-7,55.08,1027.1,1,NE,18,2010-1-5-14,0
112,2010,1,5,15,4,NA,NA,NA,-7,55.08,1027.1,1,NE,23,2010-1-5-15,0
113,2010,1,5,16,4,NA,NA,NA,-7,55.08,1027.1,1,NE,28,2010-1-5-16,0
114,2010,1,5,17,4,NA,NA,NA,-7,59.21,1028.1,0,NE,32,2010-1-5-17,0
115,2010,1,5,18,4,NA,NA,NA,-7,59.21,1028.1,0,NE,37,2010-1-5-18,0
116,2010,1,5,19,4,NA,NA,NA,-6,63.94,1029.1,0,NE,42,2010-1-5-19,0
117,2010,1,5,20,4,NA,NA,NA,-6,63.94,1028.1,0,NE,47,2010-1-5-20,0
118,2010,1,5,21,4,NA,NA,NA,-5,69,1029.1,0,NE,50,2010-1-5-21,0
119,2010,1,5,22,4,NA,NA,NA,-5,69,1029.1,0,NW,3,2010-1-5-22,0
120,2010,1,5,23,4,NA,NA,NA,-5,69,1029.1,0,NW,6,2010-1-5-23,0
745,2010,2,1,0,4,NA,NA,NA,6,87.19,1016.9,8,NE,54,2010-2-1-0,12.4
746,2010,2,1,1,4,NA,NA,NA,6,87.19,1016.9,8,NE,59,2010-2-1-1,12.6
747,2010,2,1,2,4,NA,NA,NA,6,93.35,1016.9,7,NE,65,2010-2-1-2,13
748,2010,2,1,3,4,NA,NA,NA,6,93.35,1016.9,7,NE,70,2010-2-1-3,0
749,2010,2,1,4,4,NA,NA,NA,6,93.35,1016.9,7,NE,75,2010-2-1-4,0
